,G_2017,A_2017,P_2017,TotIce_2017,G_2018,A_2018,P_2018,TotIce_2018
204,14,45,59,1550.3999999999999,6,47,53,1363.2
205,24,23,47,1206.9,24,25,49,1250.5
206,11,32,43,1266.03,13,25,38,1175.7599999999998
207,21,29,50,1375.38,29,18,47,1274.4
208,6,30,36,1756.44,9,22,31,1626.3999999999999
209,40,38,78,1713.8,33,47,80,1699.8600000000001
210,24,23,47,1320.2,13,21,34,1410.3999999999999
211,14,43,57,1542.24,14,45,59,1698.06
212,11,22,33,1334.07,17,14,31,1027.44
213,17,46,63,1988.9099999999999,12,42,54,1593.8999999999999
214,29,32,61,1382.94,34,14,48,1109.54
215,31,44,75,1750.7,10,24,34,1080.75
216,33,33,66,1524.0,33,35,68,1396.8799999999999
217,22,26,48,1381.05,11,20,31,1230.84
218,24,22,46,1355.9999999999998,17,13,30,1236.3500000000001
219,5,39,44,1300.05,4,26,30,1503.06
220,43,35,78,1535.04,24,32,56,1544.06
221,20,41,61,1367.76,7,20,27,837.0
222,25,39,64,1324.3,22,26,48,1266.4
223,15,25,40,1422.7,21,20,41,1226.17
224,16,21,37,1737.89,11,33,44,1876.1599999999999
