,PIM_2017,+/-_2017,HITS_2017,BS_2017,TotIce_2017,PIM_2018,+/-_2018,HITS_2018,BS_2018,TotIce_2018
176,14,6,115,30,1495.3400000000001,27,-13,82,38,1274.4299999999998
177,24,24,80,120,1835.25,42,9,53,144,2062.2999999999997
178,35,-17,60,19,1301.92,29,-9,54,38,1310.4
179,6,26,27,84,1027.4,20,21,71,154,1968.0
180,42,20,96,57,1200.08,58,-19,150,74,1303.1499999999999
181,78,13,87,35,1465.45,42,7,95,23,1564.0
182,20,10,44,39,1120.34,26,-13,69,40,1648.2
183,2,-23,42,48,1686.42,12,22,31,36,1701.5
184,14,-4,113,86,1251.1999999999998,22,21,143,148,1832.7
185,33,-4,43,17,1248.04,64,-3,76,36,1261.17
186,34,-1,78,138,2088.06,41,-8,78,109,2187.7599999999998
187,26,-24,48,42,1402.2,16,-10,38,47,1553.8999999999999
188,31,34,74,44,1769.56,34,2,40,60,1769.6000000000001
189,24,3,35,17,1382.32,12,7,36,24,1485.9
190,24,4,65,17,1397.7600000000002,26,25,65,34,1652.3
191,30,10,92,124,1917.2399999999998,28,1,106,133,1936.5
192,25,10,53,116,1673.1,22,-20,46,102,1532.6999999999998
193,46,0,75,36,1695.76,36,18,85,43,1657.42
194,72,18,61,35,1462.5,37,4,72,40,1500.6000000000001
195,31,2,124,54,1361.6,36,5,133,55,1283.4
196,27,11,116,36,1307.8999999999999,25,-15,128,41,1124.0
197,34,14,72,44,1453.1200000000001,16,-6,22,29,649.4399999999999
198,14,8,26,22,1384.1599999999999,12,30,35,23,1469.44
199,36,-3,36,18,1126.4,26,-12,38,13,902.4
200,51,2,105,48,1202.85,55,9,99,40,1323.6599999999999
201,187,10,250,51,1246.44,128,11,200,52,1142.1899999999998
202,41,-2,84,71,1429.9,18,5,53,64,1464.54
203,34,-19,67,29,1332.5,34,21,77,30,1312.0
204,36,0,79,73,1550.3999999999999,33,-2,53,60,1363.2
205,46,17,97,53,1206.9,40,-4,65,45,1250.5
206,28,6,43,28,1266.03,20,-3,52,33,1175.7599999999998
207,24,3,48,47,1375.38,28,15,50,32,1274.4
208,48,9,68,119,1756.44,63,11,97,99,1626.3999999999999
209,43,12,74,44,1713.8,18,17,74,47,1699.8600000000001
210,16,9,75,17,1320.2,23,-16,39,23,1410.3999999999999
211,22,-15,40,79,1542.24,36,-3,48,93,1698.06
212,20,-7,25,55,1334.07,16,19,12,34,1027.44
213,54,32,139,110,1988.9099999999999,44,24,59,97,1593.8999999999999
214,36,20,30,52,1382.94,26,12,18,23,1109.54
215,54,-9,145,55,1750.7,54,-9,112,42,1080.75
216,17,15,89,37,1524.0,22,8,88,40,1396.8799999999999
217,45,6,79,44,1381.05,44,-7,140,62,1230.84
218,57,-16,129,54,1355.9999999999998,99,-16,137,28,1236.3500000000001
219,8,1,21,62,1300.05,18,-17,38,74,1503.06
220,12,49,48,45,1535.04,16,1,51,55,1544.06
221,10,20,21,18,1367.76,16,-4,16,14,837.0
222,50,34,57,42,1324.3,66,9,83,30,1266.4
223,37,22,117,55,1422.7,65,16,102,39,1226.17
224,16,8,58,92,1737.89,18,-12,67,89,1876.1599999999999
