,Name,Rk_2017,GP_2017,G_2017,A_2017,P_2017,PIM_2017,+/-_2017,TOI_2017,PPG_2017,GWG_2017,PPP_2017,G/GP_2017,A/GP_2017,P/GP_2017,SHOTS_2017,SH_2017,HITS_2017,BS_2017,Rk_2018,GP_2018,G_2018,A_2018,P_2018,PIM_2018,+/-_2018,TOI_2018,PPG_2018,GWG_2018,PPP_2018,G/GP_2018,A/GP_2018,P/GP_2018,SHOTS_2018,SH_2018,HITS_2018,BS_2018,norm_P_2017,norm_PPP_2017,norm_SHOTS_2017,norm_GWG_2017,norm_SH_2017,norm_total_2017
87,Jason Pominville,222,82,16,18,34,8,-17,893,5,1,7,0.195,0.22,0.415,168,9.5,39,35,245,73,16,15,31,4,-4,747,1,3,2,0.219,0.205,0.425,134,11.9,18,20,0.02631578947368421,0.16666666666666666,0.34385964912280703,0.08333333333333333,0.32367149758454106,0.9438469361810323
88,Jason Zucker,52,82,33,31,64,44,8,1017,7,7,16,0.402,0.378,0.78,222,14.9,80,47,154,81,21,21,42,28,-9,1024,7,5,14,0.259,0.259,0.519,214,9.8,87,38,0.42105263157894735,0.38095238095238093,0.5333333333333333,0.5833333333333334,0.5845410628019324,2.5032127419999273
89,Jeff Petry,164,82,12,30,42,28,-30,1409,6,2,23,0.146,0.366,0.512,178,6.7,167,138,135,82,13,33,46,28,-5,1387,3,4,11,0.159,0.402,0.561,172,7.6,190,123,0.13157894736842105,0.5476190476190477,0.37894736842105264,0.16666666666666666,0.1884057971014493,1.4132178271766374
90,Jeff Skinner,121,82,24,25,49,34,-27,1002,4,2,9,0.293,0.305,0.598,277,8.7,35,24,66,82,40,23,63,36,0,1111,8,7,16,0.488,0.28,0.768,268,14.9,31,24,0.2236842105263158,0.21428571428571427,0.7263157894736842,0.16666666666666666,0.28502415458937197,1.615976535541753
91,Jesper Bratt,212,74,13,22,35,18,-16,914,4,2,12,0.176,0.297,0.473,100,13.0,44,22,237,51,8,25,33,6,-8,910,1,1,8,0.157,0.49,0.647,91,8.8,36,22,0.039473684210526314,0.2857142857142857,0.10526315789473684,0.16666666666666666,0.49275362318840576,1.0898714176746211
92,Joe Pavelski,46,82,22,44,66,41,0,1155,7,1,23,0.268,0.537,0.805,224,9.8,93,70,64,75,38,26,64,22,-4,1142,12,6,21,0.507,0.347,0.853,188,20.2,69,61,0.4473684210526316,0.5476190476190477,0.5403508771929825,0.08333333333333333,0.3381642512077295,1.9568359304057243
93,Joe Thornton,203,47,13,23,36,38,-9,1101,7,1,18,0.277,0.489,0.766,75,17.3,32,18,108,73,16,35,51,20,8,932,3,4,15,0.219,0.479,0.699,90,17.8,17,14,0.05263157894736842,0.42857142857142855,0.017543859649122806,0.08333333333333333,0.7004830917874396,1.2825632922886927
94,John Carlson,40,82,15,53,68,32,0,1487,4,4,32,0.183,0.646,0.829,237,6.3,47,146,55,80,13,57,70,34,21,1503,3,1,33,0.163,0.713,0.875,185,7.0,54,164,0.47368421052631576,0.7619047619047619,0.5859649122807018,0.3333333333333333,0.16908212560386474,2.3239693436489772
95,John Klingberg,43,82,8,59,67,26,10,1444,1,3,23,0.098,0.72,0.817,204,3.9,44,109,139,64,10,35,45,12,6,1471,5,5,20,0.156,0.547,0.703,153,6.5,42,77,0.4605263157894737,0.5476190476190477,0.47017543859649125,0.25,0.053140096618357495,1.7814608986233702
96,John Tavares,16,82,37,47,84,26,-12,1195,12,3,30,0.451,0.573,1.024,257,14.4,30,34,16,82,47,41,88,34,19,1145,10,8,19,0.573,0.5,1.073,286,16.4,59,53,0.6842105263157895,0.7142857142857143,0.656140350877193,0.25,0.5603864734299517,2.865023064908648
97,Johnny Gaudreau,18,80,24,60,84,26,2,1165,3,4,24,0.3,0.75,1.05,227,10.6,16,18,8,82,36,63,99,24,18,1204,6,8,27,0.439,0.768,1.207,245,14.7,12,12,0.6842105263157895,0.5714285714285714,0.5508771929824562,0.3333333333333333,0.37681159420289856,2.516661218263049
98,Jonathan Drouin,143,77,13,33,46,30,-28,1057,4,4,22,0.169,0.429,0.597,164,7.9,55,27,99,81,18,35,53,26,-8,1015,3,3,16,0.222,0.432,0.654,190,9.5,55,23,0.18421052631578946,0.5238095238095238,0.3298245614035088,0.3333333333333333,0.24637681159420294,1.6175547564563582
99,Jonathan Huberdeau,38,82,27,42,69,32,-2,1152,7,4,19,0.329,0.512,0.841,204,13.2,41,42,13,82,30,62,92,40,-14,1131,11,5,34,0.366,0.756,1.122,226,13.3,57,45,0.4868421052631579,0.4523809523809524,0.47017543859649125,0.3333333333333333,0.502415458937198,2.2451472885111325
100,Jonathan Marchessault,30,77,27,48,75,40,36,1051,6,6,16,0.351,0.623,0.974,268,10.1,99,26,75,82,25,34,59,52,2,1088,5,6,16,0.305,0.415,0.72,278,9.0,98,22,0.5657894736842105,0.38095238095238093,0.6947368421052632,0.5,0.3526570048309179,2.4941357015727723
101,Jonathan Toews,104,74,20,32,52,47,-1,1181,2,2,12,0.27,0.432,0.703,211,9.5,32,24,27,82,35,46,81,40,2,1260,9,5,23,0.427,0.561,0.988,235,14.9,42,44,0.2631578947368421,0.2857142857142857,0.49473684210526314,0.16666666666666666,0.32367149758454106,1.5339471868075987
102,Joonas Donskoi,242,66,14,18,32,26,10,898,1,2,5,0.212,0.273,0.485,129,10.9,28,28,191,80,14,23,37,10,10,805,1,4,3,0.175,0.288,0.463,115,12.2,36,36,0.0,0.11904761904761904,0.20701754385964913,0.16666666666666666,0.39130434782608703,0.8840361774000218
103,Jordan Eberle,77,81,25,34,59,21,5,964,3,7,10,0.309,0.42,0.728,183,13.7,46,30,187,78,19,18,37,17,-6,991,7,5,12,0.244,0.231,0.474,160,11.9,36,35,0.35526315789473684,0.23809523809523808,0.39649122807017545,0.5833333333333334,0.5265700483091786,2.099753005702662
104,Jordan Staal,141,79,19,27,46,26,-4,1154,4,2,12,0.241,0.342,0.582,160,11.9,181,32,281,50,11,17,28,26,6,1097,0,1,2,0.22,0.34,0.56,121,9.1,122,18,0.18421052631578946,0.2857142857142857,0.3157894736842105,0.16666666666666666,0.4396135265700484,1.3919944789510006
105,Joshua Bailey,33,76,18,53,71,17,-20,1073,5,3,31,0.237,0.697,0.934,151,11.9,12,33,85,82,16,40,56,21,8,1009,2,4,14,0.195,0.488,0.683,126,12.7,19,32,0.5131578947368421,0.7380952380952381,0.28421052631578947,0.25,0.4396135265700484,2.225077185717918
106,Justin Williams,111,82,16,35,51,56,-9,995,2,2,12,0.195,0.427,0.622,198,8.1,79,42,96,82,23,30,53,44,-4,1046,9,5,14,0.28,0.366,0.646,237,9.7,55,32,0.25,0.2857142857142857,0.44912280701754387,0.16666666666666666,0.2560386473429952,1.4075424067414914
107,Keith Yandle,89,82,8,48,56,35,7,1469,1,1,18,0.098,0.585,0.683,179,4.5,26,101,68,82,9,53,62,50,-17,1346,7,2,39,0.11,0.646,0.756,199,4.5,47,76,0.3157894736842105,0.42857142857142855,0.3824561403508772,0.08333333333333333,0.08212560386473432,1.2922759798045838
108,Kevin Fiala,126,80,23,25,48,26,20,908,4,4,13,0.288,0.313,0.6,187,12.3,34,27,177,83,13,26,39,36,-23,938,2,2,11,0.157,0.313,0.47,174,7.5,42,20,0.21052631578947367,0.30952380952380953,0.4105263157894737,0.3333333333333333,0.4589371980676329,1.722846972503723
109,Kevin Hayes,149,76,25,19,44,18,1,1041,6,4,8,0.329,0.25,0.579,172,14.5,40,36,87,71,19,36,55,12,-2,1096,3,2,11,0.268,0.507,0.775,156,12.2,58,15,0.15789473684210525,0.19047619047619047,0.35789473684210527,0.3333333333333333,0.5652173913043478,1.6048163887980822
110,Kevin Labanc,179,77,11,29,40,32,-6,860,4,3,17,0.143,0.377,0.519,156,7.1,31,23,83,82,17,39,56,36,-1,841,2,4,20,0.207,0.476,0.683,130,13.1,66,16,0.10526315789473684,0.40476190476190477,0.3017543859649123,0.25,0.20772946859903382,1.2695089172205878
111,Kristopher Letang,112,79,9,42,51,56,-9,1519,4,1,20,0.114,0.532,0.646,222,4.1,109,108,84,65,16,40,56,48,13,1557,2,3,19,0.246,0.615,0.862,206,7.8,116,111,0.25,0.47619047619047616,0.5333333333333333,0.08333333333333333,0.06280193236714975,1.4056590752242926
112,Kyle Connor,82,76,31,26,57,16,8,1014,7,7,11,0.408,0.342,0.75,192,16.2,18,26,59,82,34,32,66,18,-7,1155,11,5,19,0.415,0.39,0.805,227,15.0,9,21,0.32894736842105265,0.2619047619047619,0.4280701754385965,0.5833333333333334,0.6473429951690821,2.2495986342668264
113,Kyle Okposo,155,76,15,29,44,40,-34,1021,6,2,21,0.197,0.382,0.579,161,9.3,70,34,268,78,14,15,29,41,-9,827,7,2,11,0.179,0.192,0.372,147,9.5,87,27,0.15789473684210525,0.5,0.3192982456140351,0.16666666666666666,0.31400966183574885,1.4578693109585559
114,Kyle Palmieri,150,62,24,20,44,30,-1,1038,11,5,23,0.387,0.323,0.71,181,13.3,94,50,111,74,27,23,50,42,-9,1089,11,2,18,0.365,0.311,0.676,224,12.1,98,35,0.15789473684210525,0.5476190476190477,0.3894736842105263,0.4166666666666667,0.5072463768115942,2.0189005121499406
115,Lars Eller,184,81,18,20,38,38,-6,917,3,2,6,0.222,0.247,0.469,161,11.2,71,69,202,81,13,23,36,37,-1,992,0,1,3,0.16,0.284,0.444,163,8.0,69,47,0.07894736842105263,0.14285714285714285,0.3192982456140351,0.16666666666666666,0.40579710144927533,1.1135665250081725
116,Leon Draisaitl,36,78,25,45,70,30,-7,1157,6,1,11,0.321,0.577,0.897,194,12.9,40,24,4,82,50,55,105,52,2,1355,16,5,29,0.61,0.671,1.28,231,21.7,57,26,0.5,0.2619047619047619,0.43508771929824563,0.08333333333333333,0.4879227053140098,1.7682485198503506
117,Logan Couture,66,78,34,27,61,18,-2,1112,10,4,21,0.436,0.346,0.782,204,16.7,33,72,54,81,27,43,70,22,-6,1115,6,3,18,0.333,0.531,0.864,204,13.2,65,52,0.3815789473684211,0.5,0.47017543859649125,0.3333333333333333,0.6714975845410628,2.3565853038393083
118,Marc-Edouard Vlasic,244,81,11,21,32,34,9,1353,1,2,3,0.136,0.259,0.395,161,6.8,26,174,336,72,3,22,25,10,-6,1262,0,0,1,0.042,0.306,0.347,100,3.0,23,114,0.0,0.07142857142857142,0.3192982456140351,0.16666666666666666,0.1932367149758454,0.7506301986851185
119,Mark Giordano,188,82,13,25,38,63,0,1487,1,4,10,0.159,0.305,0.463,214,6.1,93,161,41,78,17,57,74,69,39,1454,3,2,21,0.218,0.731,0.949,221,7.7,58,144,0.07894736842105263,0.23809523809523808,0.5052631578947369,0.3333333333333333,0.15942028985507245,1.3150593875994334
120,Mark Scheifele,73,60,23,37,60,18,19,1239,8,3,16,0.383,0.617,1.0,125,18.4,57,31,20,82,38,46,84,38,8,1311,12,6,23,0.463,0.561,1.024,199,19.1,54,54,0.3684210526315789,0.38095238095238093,0.19298245614035087,0.25,0.753623188405797,1.9459790781301076
121,Mark Stone,64,58,20,42,62,10,9,1239,1,3,11,0.345,0.724,1.069,132,15.2,53,39,43,77,33,40,73,27,17,1193,6,4,20,0.429,0.519,0.948,199,16.6,72,71,0.39473684210526316,0.2619047619047619,0.21754385964912282,0.25,0.5990338164251208,1.7232192800842687
122,Mathew Barzal,14,82,22,63,85,30,1,1065,5,4,27,0.268,0.768,1.037,170,12.9,21,31,67,82,18,44,62,46,-5,1075,3,3,18,0.22,0.537,0.756,179,10.1,25,56,0.6973684210526315,0.6428571428571429,0.3508771929824561,0.3333333333333333,0.4879227053140098,2.5123587955395736
123,Mathieu Perreault,182,70,17,22,39,38,4,868,6,2,14,0.243,0.314,0.557,139,12.2,120,25,262,82,15,15,30,44,-1,733,4,3,7,0.183,0.183,0.366,95,15.8,127,25,0.09210526315789473,0.3333333333333333,0.24210526315789474,0.16666666666666666,0.4541062801932367,1.288316806509026
124,Mats Zuccarello,99,80,16,37,53,36,-10,1135,1,3,17,0.2,0.463,0.663,178,9.0,62,67,171,48,12,28,40,24,-8,1191,3,1,15,0.25,0.583,0.833,104,11.5,57,43,0.27631578947368424,0.40476190476190477,0.37894736842105264,0.25,0.2995169082125604,1.609541970869202
125,Matt Duchene,76,82,27,32,59,18,-22,1099,9,3,13,0.329,0.39,0.72,190,14.2,60,49,52,73,31,39,70,8,-3,1130,6,1,14,0.425,0.534,0.959,172,18.0,28,40,0.35526315789473684,0.30952380952380953,0.42105263157894735,0.25,0.5507246376811594,1.8865642366786533
126,Matthew Tkachuk,120,68,24,25,49,61,-1,1035,10,2,17,0.353,0.368,0.721,188,12.8,80,16,31,80,34,43,77,62,14,1055,11,2,24,0.425,0.538,0.963,207,16.4,104,13,0.2236842105263158,0.40476190476190477,0.41403508771929826,0.16666666666666666,0.48309178743961356,1.6922396571137992
127,Mattias Ekholm,225,81,10,24,34,46,25,1414,5,1,13,0.123,0.296,0.42,135,7.4,75,117,147,80,8,36,44,47,27,1401,2,3,7,0.1,0.45,0.55,146,5.5,68,107,0.02631578947368421,0.30952380952380953,0.22807017543859648,0.08333333333333333,0.22222222222222227,0.8694653299916457
128,Mattias Janmark-Nylén,221,81,19,15,34,24,-13,1016,4,4,5,0.235,0.185,0.42,136,14.0,15,41,334,81,6,19,25,24,-4,912,0,0,1,0.074,0.235,0.309,105,5.7,28,44,0.02631578947368421,0.11904761904761904,0.23157894736842105,0.3333333333333333,0.5410628019323671,1.2513384911554248
129,Max Domi,146,82,9,36,45,73,-7,1002,1,0,9,0.11,0.439,0.549,150,6.0,49,28,47,82,28,44,72,80,20,1042,4,2,11,0.341,0.537,0.878,203,13.8,53,39,0.17105263157894737,0.21428571428571427,0.2807017543859649,0.0,0.15458937198067635,0.8206294722313029
130,Max Pacioretty,189,64,17,20,37,30,-16,1140,6,4,15,0.266,0.313,0.578,212,8.0,118,27,168,66,22,18,40,36,-13,1020,4,5,8,0.333,0.273,0.606,191,11.5,119,20,0.06578947368421052,0.35714285714285715,0.4982456140350877,0.3333333333333333,0.25120772946859904,1.5057190076640876
131,Michael Ferland,168,77,21,20,41,24,5,900,6,0,6,0.273,0.26,0.532,144,14.6,171,30,170,71,17,23,40,58,13,845,6,3,13,0.239,0.324,0.563,156,10.9,182,19,0.11842105263157894,0.14285714285714285,0.2596491228070175,0.0,0.570048309178744,1.0909756274744833
132,Mika Zibanejad,130,72,27,20,47,14,-23,1077,14,4,21,0.375,0.278,0.653,212,12.7,92,64,39,82,30,44,74,47,-12,1233,11,5,23,0.366,0.537,0.902,236,12.7,134,66,0.19736842105263158,0.5,0.4982456140350877,0.3333333333333333,0.47826086956521735,2.00720823798627
133,Mikael Backlund,145,82,14,31,45,78,-21,1141,3,2,11,0.171,0.378,0.549,214,6.5,54,40,126,77,21,26,47,52,34,1073,1,4,2,0.273,0.338,0.61,205,10.2,52,26,0.17105263157894737,0.2619047619047619,0.5052631578947369,0.16666666666666666,0.17874396135265702,1.2836311793977697
134,Mikael Granlund,41,77,21,46,67,18,13,1126,7,2,19,0.273,0.597,0.87,193,10.9,47,45,92,79,16,38,54,24,-8,1100,2,5,20,0.203,0.481,0.684,189,8.5,46,40,0.4605263157894737,0.4523809523809524,0.43157894736842106,0.16666666666666666,0.39130434782608703,1.902457230031601
135,Mike Green,238,66,8,25,33,38,-14,1324,1,0,13,0.121,0.379,0.5,132,6.1,78,74,318,43,5,21,26,28,-1,1300,0,0,3,0.116,0.488,0.605,92,5.4,60,56,0.013157894736842105,0.30952380952380953,0.21754385964912282,0.0,0.15942028985507245,0.6996458537648469
136,Mike Hoffman,86,82,22,34,56,32,-20,1104,8,5,21,0.268,0.415,0.683,257,8.6,31,34,51,82,36,34,70,30,-24,1070,17,6,35,0.439,0.415,0.854,253,14.2,42,26,0.3157894736842105,0.5,0.656140350877193,0.4166666666666667,0.28019323671497587,2.168789727943046
137,Mikhail Sergachyov,181,79,9,31,40,38,11,922,3,5,16,0.114,0.392,0.506,141,6.4,90,64,243,75,6,26,32,28,12,1075,0,0,6,0.08,0.347,0.427,128,4.7,97,93,0.10526315789473684,0.38095238095238093,0.24912280701754386,0.4166666666666667,0.1739130434782609,1.3259180560095893
138,Mikkel Bødker,194,74,15,22,37,12,0,801,4,4,8,0.203,0.297,0.5,119,12.6,41,24,216,71,7,28,35,6,-23,841,2,1,7,0.099,0.394,0.493,88,8.0,54,28,0.06578947368421052,0.19047619047619047,0.17192982456140352,0.3333333333333333,0.4734299516908213,1.234958773745959
139,Mikko Koivu,144,82,14,31,45,46,9,1109,3,2,14,0.171,0.378,0.549,170,8.2,51,53,273,48,8,21,29,22,-2,1097,2,0,12,0.167,0.438,0.604,89,9.0,13,32,0.17105263157894737,0.3333333333333333,0.3508771929824561,0.16666666666666666,0.2608695652173913,1.2827993897787948
140,Mikko Rantanen,17,81,29,55,84,34,0,1137,12,3,35,0.358,0.679,1.037,178,16.3,32,40,17,74,31,56,87,54,13,1250,16,4,33,0.419,0.757,1.176,193,16.1,59,41,0.6842105263157895,0.8333333333333334,0.37894736842105264,0.25,0.6521739130434783,2.798665141113654
141,Miles Wood,240,76,19,13,32,84,-6,747,3,2,3,0.25,0.171,0.421,170,11.2,75,22,342,63,10,14,24,91,-10,821,1,1,3,0.159,0.222,0.381,159,6.3,97,27,0.0,0.07142857142857142,0.3508771929824561,0.16666666666666666,0.40579710144927533,0.9947695325269694
142,Mitchell Marner,39,82,22,47,69,26,-1,983,8,2,27,0.268,0.573,0.841,194,11.3,31,25,11,82,26,68,94,22,22,1189,3,5,21,0.317,0.829,1.146,233,11.2,29,43,0.4868421052631579,0.6428571428571429,0.43508771929824563,0.16666666666666666,0.4106280193236715,2.1420816534088845
143,Morgan Rielly,106,76,6,46,52,14,-4,1295,1,0,25,0.079,0.605,0.684,182,3.3,48,84,50,82,20,52,72,14,24,1387,3,5,21,0.244,0.634,0.878,223,9.0,61,114,0.2631578947368421,0.5952380952380952,0.3929824561403509,0.0,0.024154589371980676,1.275533035487269
144,Nate Schmidt,205,76,5,31,36,16,19,1331,1,1,11,0.066,0.408,0.474,103,4.9,41,121,264,61,9,21,30,8,22,1317,1,1,8,0.148,0.344,0.492,112,8.0,37,100,0.05263157894736842,0.2619047619047619,0.11578947368421053,0.08333333333333333,0.10144927536231887,0.6151084232319931
145,Nathan MacKinnon,5,74,39,58,97,55,11,1193,12,12,32,0.527,0.784,1.311,284,13.7,38,22,7,82,41,58,99,34,20,1325,12,6,37,0.5,0.707,1.207,365,11.2,54,31,0.8552631578947368,0.7619047619047619,0.7508771929824561,1.0,0.5265700483091786,3.8946151610911333
146,Nazem Kadri,90,80,32,23,55,42,2,1005,12,3,19,0.4,0.288,0.688,211,15.2,94,26,143,73,16,28,44,43,-2,971,4,5,13,0.219,0.384,0.603,184,8.7,85,13,0.3026315789473684,0.4523809523809524,0.49473684210526314,0.25,0.5990338164251208,2.098783189858705
147,Nick Bjugstad,122,82,19,30,49,41,5,907,1,1,7,0.232,0.366,0.598,230,8.3,95,19,306,64,14,12,26,30,6,907,2,2,6,0.219,0.188,0.406,154,9.1,126,27,0.2236842105263158,0.16666666666666666,0.5614035087719298,0.08333333333333333,0.2657004830917875,1.300788202390033
148,Nick Foligno,231,72,15,18,33,50,1,1101,2,1,4,0.208,0.25,0.458,137,11.0,182,60,207,73,17,18,35,44,12,1062,2,2,4,0.233,0.247,0.479,141,12.1,175,51,0.013157894736842105,0.09523809523809523,0.23508771929824562,0.08333333333333333,0.3961352657004831,0.8229523083069994
149,Nick Leddy,165,80,10,32,42,20,-42,1345,4,1,14,0.125,0.4,0.525,153,6.5,95,104,319,82,4,22,26,18,0,1293,0,0,10,0.049,0.268,0.317,116,3.5,77,89,0.13157894736842105,0.3333333333333333,0.2912280701754386,0.08333333333333333,0.17874396135265702,1.0182176455631833
150,Nick Schmaltz,103,78,21,31,52,18,1,1093,4,2,13,0.269,0.397,0.667,118,17.8,13,39,331,40,7,18,25,8,-12,1069,5,2,8,0.175,0.45,0.625,62,11.3,5,12,0.2631578947368421,0.30952380952380953,0.16842105263157894,0.16666666666666666,0.7246376811594203,1.6324071047183173
151,Nicklas Bäckström,32,81,21,50,71,46,5,1179,7,4,26,0.259,0.617,0.877,165,12.7,37,51,40,80,22,52,74,30,2,1197,7,5,25,0.275,0.65,0.925,169,13.0,54,30,0.5131578947368421,0.6190476190476191,0.3333333333333333,0.3333333333333333,0.47826086956521735,2.277133050016345
152,Nico Hischier,105,82,20,32,52,26,10,978,1,2,6,0.244,0.39,0.634,180,11.1,56,39,128,69,17,30,47,24,0,1086,3,3,11,0.246,0.435,0.681,160,10.6,53,44,0.2631578947368421,0.14285714285714285,0.38596491228070173,0.16666666666666666,0.4009661835748793,1.3596128001162326
153,Nikita Kucherov,3,80,39,61,100,42,15,1188,8,7,36,0.488,0.763,1.25,279,14.0,31,15,1,82,41,87,128,62,24,1197,15,8,48,0.5,1.061,1.561,246,16.7,44,31,0.8947368421052632,0.8571428571428571,0.7333333333333333,0.5833333333333334,0.5410628019323671,3.609609167847154
154,Nikolaj Ehlers,72,82,29,31,60,26,14,965,7,7,13,0.354,0.378,0.732,231,12.6,39,27,185,62,21,16,37,15,2,945,2,4,7,0.339,0.258,0.597,158,13.3,27,16,0.3684210526315789,0.30952380952380953,0.5649122807017544,0.5833333333333334,0.4734299516908213,2.2996204278812975
155,Nino Niederreiter,241,63,18,14,32,36,14,900,7,4,8,0.286,0.222,0.508,133,13.5,58,20,97,82,23,30,53,30,-4,973,6,3,15,0.28,0.366,0.646,184,12.5,94,20,0.0,0.19047619047619047,0.22105263157894736,0.3333333333333333,0.5169082125603864,1.2617703679488574
156,Noah Hanifin,248,79,10,22,32,21,-20,1131,1,3,7,0.127,0.278,0.405,165,6.1,81,69,238,80,5,28,33,12,18,1246,1,2,5,0.063,0.35,0.413,116,4.3,87,83,0.0,0.16666666666666666,0.3333333333333333,0.25,0.15942028985507245,0.9094202898550725
157,Oliver Bjorkstrand,180,82,11,29,40,9,4,856,3,2,9,0.134,0.354,0.488,163,6.8,64,43,199,77,23,13,36,8,8,740,3,1,3,0.299,0.169,0.468,161,14.3,43,34,0.10526315789473684,0.21428571428571427,0.3263157894736842,0.16666666666666666,0.1932367149758454,1.0057680432966474
158,Oliver Ekman-Larsson,163,82,14,28,42,44,-28,1420,6,3,15,0.171,0.341,0.512,202,6.9,160,79,144,81,14,30,44,52,-16,1418,5,2,19,0.173,0.37,0.543,176,8.0,162,52,0.13157894736842105,0.35714285714285715,0.4631578947368421,0.25,0.19806763285024157,1.3999473320983618
159,Ondrej Palat,216,56,11,24,35,6,16,1021,4,0,9,0.196,0.429,0.625,109,10.1,80,48,227,64,8,26,34,20,4,893,2,1,8,0.125,0.406,0.531,100,8.0,104,34,0.039473684210526314,0.21428571428571427,0.1368421052631579,0.0,0.3526570048309179,0.7432585085903164
160,P.K. Subban,79,82,16,43,59,82,18,1446,5,2,25,0.195,0.524,0.72,207,7.7,111,90,252,63,9,22,31,60,5,1359,2,1,10,0.143,0.349,0.492,168,5.4,56,75,0.35526315789473684,0.5952380952380952,0.4807017543859649,0.16666666666666666,0.23671497584541065,1.8345846500308742
161,Patric Hörnqvist,119,70,29,20,49,58,2,1038,15,1,22,0.414,0.286,0.7,247,11.7,137,64,188,69,18,19,37,26,-3,928,6,2,12,0.261,0.275,0.536,197,9.1,150,34,0.2236842105263158,0.5238095238095238,0.6210526315789474,0.08333333333333333,0.429951690821256,1.8818313900693764
162,Patrice Bergeron,59,64,30,33,63,26,21,1166,10,6,21,0.469,0.516,0.984,224,13.4,48,42,29,65,32,47,79,30,23,1108,9,3,27,0.492,0.723,1.215,205,15.6,43,60,0.40789473684210525,0.5,0.5403508771929825,0.5,0.5120772946859904,2.460322908721078
163,Patrick Kane,28,82,27,49,76,32,-20,1211,5,4,22,0.329,0.598,0.927,285,9.5,18,14,3,81,44,66,110,22,2,1349,9,7,30,0.543,0.815,1.358,341,12.9,21,18,0.5789473684210527,0.5238095238095238,0.7543859649122807,0.3333333333333333,0.32367149758454106,2.514147688060732
164,Patrick Marleau,131,82,27,20,47,16,1,1019,5,5,9,0.329,0.244,0.573,203,13.3,85,26,189,82,16,21,37,28,-6,980,4,3,10,0.195,0.256,0.451,161,9.9,74,41,0.19736842105263158,0.21428571428571427,0.4666666666666667,0.4166666666666667,0.5072463768115942,1.8022338454832734
165,Patrick Maroon,158,74,17,26,43,73,1,992,1,4,7,0.23,0.351,0.581,141,12.1,150,14,282,74,10,18,28,64,-3,850,2,3,11,0.135,0.243,0.378,118,8.5,135,7,0.14473684210526316,0.16666666666666666,0.24912280701754386,0.3333333333333333,0.44927536231884063,1.3431350114416476
166,Patrik Laine,34,82,44,26,70,24,8,988,20,8,31,0.537,0.317,0.854,241,18.3,74,43,109,82,30,20,50,42,-24,1033,15,3,23,0.366,0.244,0.61,245,12.2,70,44,0.5,0.7380952380952381,0.6,0.6666666666666666,0.748792270531401,3.2535541752933055
167,Paul Byron,206,82,20,15,35,23,-4,967,2,1,4,0.244,0.183,0.427,115,17.4,137,55,246,56,15,16,31,17,16,874,0,3,1,0.268,0.286,0.554,94,16.0,114,36,0.039473684210526314,0.09523809523809523,0.15789473684210525,0.08333333333333333,0.7053140096618357,1.0812538592858958
168,Paul Stastny,100,82,16,37,53,18,1,1098,3,3,9,0.195,0.451,0.646,159,10.1,43,38,158,50,13,29,42,30,14,1086,1,2,4,0.26,0.58,0.84,103,12.6,35,15,0.27631578947368424,0.21428571428571427,0.312280701754386,0.25,0.3526570048309179,1.4055392103447024
169,Pavel Buchnevich,161,74,14,29,43,20,-3,900,5,4,17,0.189,0.392,0.581,136,10.3,51,35,180,64,21,17,38,13,-10,910,7,1,12,0.328,0.266,0.594,119,17.7,60,20,0.14473684210526316,0.40476190476190477,0.23157894736842105,0.3333333333333333,0.3623188405797102,1.4767298681486325
170,Phil Kessel,8,82,34,58,92,36,-4,1121,12,6,42,0.415,0.707,1.122,261,13.0,10,17,25,82,27,55,82,28,-19,1078,12,10,36,0.329,0.671,1.0,215,12.6,12,18,0.7894736842105263,1.0,0.6701754385964912,0.5,0.49275362318840576,3.4524027459954234
171,Pierre-Luc Dubois,129,82,20,28,48,49,8,997,6,4,15,0.244,0.341,0.585,165,12.1,127,46,71,82,27,34,61,64,16,1062,2,5,9,0.329,0.415,0.744,174,15.5,115,52,0.21052631578947367,0.35714285714285715,0.3333333333333333,0.3333333333333333,0.44927536231884063,1.683611201917838
172,Radek Faksa,228,79,17,16,33,36,21,915,0,3,0,0.215,0.203,0.418,118,14.4,101,56,261,81,15,15,30,54,-3,985,1,1,3,0.185,0.185,0.37,114,13.2,103,65,0.013157894736842105,0.0,0.16842105263157894,0.25,0.5603864734299517,0.9919654207983728
173,Rasmus Ristolainen,173,73,6,35,41,48,-25,1590,1,1,23,0.082,0.479,0.562,182,3.3,206,111,152,78,5,38,43,38,-41,1478,1,2,17,0.064,0.487,0.551,182,2.8,235,121,0.11842105263157894,0.5476190476190477,0.3929824561403509,0.08333333333333333,0.024154589371980676,1.1665104790962915
174,Reilly Smith,74,67,22,38,60,24,31,1075,7,4,14,0.328,0.567,0.896,162,13.6,40,24,98,74,19,34,53,14,13,1096,4,1,14,0.257,0.459,0.716,178,10.7,39,33,0.3684210526315789,0.3333333333333333,0.32280701754385965,0.3333333333333333,0.5217391304347827,1.879633867276888
175,Richard Panik,210,72,14,21,35,38,7,911,4,0,6,0.194,0.292,0.486,136,10.3,137,37,233,75,14,19,33,44,-3,996,0,2,2,0.187,0.253,0.44,140,10.0,137,52,0.039473684210526314,0.14285714285714285,0.23157894736842105,0.0,0.3623188405797102,0.7762286150158004
