,Rk,Name,GP,G,A,P,PIM,+/-,TOI,PPG,GWG,PPP,G/GP,A/GP,P/GP,SHOTS,HITS,BS,Year,SH%
50,156,Bobby Ryan,78,15,27,42,35,-29,15.67,7,1,16,0.192,0.346,0.538,160,77,49,2018,0.094
51,235,Bobby Ryan,62,11,22,33,14,-12,16.43,1,1,4,0.177,0.355,0.532,112,97,52,2017,0.098
52,243,Boone Jenner,75,13,19,32,39,1,16.45,2,2,3,0.173,0.253,0.427,187,205,83,2017,0.07
53,182,Boone Jenner,77,16,22,38,42,6,17.05,1,3,3,0.208,0.286,0.494,170,158,70,2018,0.094
54,5,Brad Marchand,79,36,64,100,96,15,19.62,10,9,34,0.456,0.81,1.266,231,46,19,2018,0.156
55,13,Brad Marchand,68,34,51,85,63,25,19.7,8,8,23,0.5,0.75,1.25,182,37,25,2017,0.187
56,250,Brandon Montour,80,9,23,32,42,16,20.47,5,5,12,0.113,0.288,0.4,160,96,83,2017,0.056
57,215,Brandon Montour,82,8,27,35,56,-20,22.43,1,2,6,0.098,0.329,0.427,181,99,121,2018,0.044
58,208,Brandon Saad,82,18,17,35,14,-10,17.5,1,8,1,0.22,0.207,0.427,237,29,32,2017,0.076
59,124,Brandon Saad,80,23,24,47,12,-9,17.68,5,3,6,0.288,0.3,0.588,195,52,25,2018,0.118
60,45,Brayden Point,82,32,34,66,24,18,19.63,5,12,11,0.39,0.415,0.805,217,26,57,2017,0.148
61,12,Brayden Point,79,41,51,92,28,27,18.92,20,7,35,0.519,0.646,1.165,191,31,43,2018,0.215
62,91,Brayden Schenn,72,17,37,54,40,3,18.58,4,5,12,0.236,0.514,0.75,159,111,31,2018,0.107
63,35,Brayden Schenn,82,28,42,70,56,10,19.72,8,8,19,0.341,0.512,0.854,210,154,37,2017,0.133
64,102,Brendan Gallagher,82,33,19,52,49,10,16.38,4,4,7,0.402,0.232,0.634,302,126,31,2018,0.109
65,95,Brendan Gallagher,82,31,23,54,34,-13,16.17,8,4,17,0.378,0.28,0.659,278,90,41,2017,0.112
